denominator_id,denominator_name,denominator_table_name,outcome_id,outcome_name,outcome_table_name,time_at_risk
1,all_population,all_population,1,allergic_rhinitis,chronic_cohorts,NA
1,all_population,all_population,2,asthma,chronic_cohorts,NA
1,all_population,all_population,3,atopic_dermatitis,chronic_cohorts,NA
1,all_population,all_population,4,atrial_fibrillation,chronic_cohorts,NA
1,all_population,all_population,5,breastcancer,chronic_cohorts,NA
1,all_population,all_population,6,celiac_disease,chronic_cohorts,NA
1,all_population,all_population,7,chronic_kidney_disease,chronic_cohorts,NA
1,all_population,all_population,8,chronic_liver_disease,chronic_cohorts,NA
1,all_population,all_population,9,colorectalcancer,chronic_cohorts,NA
1,all_population,all_population,10,copd,chronic_cohorts,NA
1,all_population,all_population,11,dementia,chronic_cohorts,NA
1,all_population,all_population,12,depressive_disorder,chronic_cohorts,NA
1,all_population,all_population,13,gad,chronic_cohorts,NA
1,all_population,all_population,14,headneckcancer,chronic_cohorts,NA
1,all_population,all_population,15,hypercholesterolemia,chronic_cohorts,NA
1,all_population,all_population,16,hypertension,chronic_cohorts,NA
1,all_population,all_population,17,hypohyroidism,chronic_cohorts,NA
1,all_population,all_population,18,ibd,chronic_cohorts,NA
1,all_population,all_population,19,livercancer,chronic_cohorts,NA
1,all_population,all_population,20,lungcancer,chronic_cohorts,NA
1,all_population,all_population,21,osteoporosis,chronic_cohorts,NA
1,all_population,all_population,22,pancreaticcancer,chronic_cohorts,NA
1,all_population,all_population,23,prostatecancer,chronic_cohorts,NA
1,all_population,all_population,24,rheumatoidarthritis,chronic_cohorts,NA
1,all_population,all_population,25,schizophrenia,chronic_cohorts,NA
1,all_population,all_population,26,stomachcancer,chronic_cohorts,NA
1,all_population,all_population,27,systemiclupus,chronic_cohorts,NA
1,all_population,all_population,28,type1diabetes,chronic_cohorts,NA
1,all_population,all_population,29,type2diabetes,chronic_cohorts,NA
1,all_population,all_population,30,valvular_hd,chronic_cohorts,NA
1,all_population,all_population,1,bone_fracture,acute_cohorts,NA
1,all_population,all_population,2,covid_infection,acute_cohorts,NA
1,all_population,all_population,3,hip_fracture,acute_cohorts,NA
1,all_population,all_population,4,hiv,acute_cohorts,NA
1,all_population,all_population,5,influenza,acute_cohorts,NA
1,all_population,all_population,6,pneumonia,acute_cohorts,NA
1,all_population,all_population,7,sti,acute_cohorts,NA
1,all_population,all_population,8,uti,acute_cohorts,NA
1,all_population,all_population,9,deep_vein_thrombosis,acute_cohorts,NA
1,all_population,all_population,10,haemorrhagic_stroke,acute_cohorts,NA
1,all_population,all_population,11,heart_failure,acute_cohorts,NA
1,all_population,all_population,12,ischemic_stroke,acute_cohorts,NA
1,all_population,all_population,13,myocardial_infarction,acute_cohorts,NA
1,all_population,all_population,14,myocarditis_pericarditis,acute_cohorts,NA
1,all_population,all_population,15,pulmonary_embolism,acute_cohorts,NA
1,all_population,all_population,16,transient_ischemic_attack,acute_cohorts,NA
1,all_population,all_population,17,venous_thrombosembolism,acute_cohorts,NA
1,all_population,all_population,18,ventricular_arrhythmia_cardiac_arrest,acute_cohorts,NA
1,all_population,all_population,1,long_covid_one_symptom,overlap_cohorts,NA
1,all_population,all_population,2,long_covid_two_symptoms,overlap_cohorts,NA
1,all_population,all_population,3,long_covid_three_symptoms,overlap_cohorts,NA
1,all_population,all_population,4,pasc_one_symptom,overlap_cohorts,NA
1,all_population,all_population,5,pasc_two_symptoms,overlap_cohorts,NA
1,all_population,all_population,6,pasc_three_symptoms,overlap_cohorts,NA
1,all_population,all_population,1,ecmo,hu_cohorts,NA
1,all_population,all_population,2,gp_visit,hu_cohorts,NA
1,all_population,all_population,3,hospital_visit,hu_cohorts,NA
1,all_population,all_population,4,icu,hu_cohorts,NA
1,all_population,all_population,5,tracheostomy,hu_cohorts,NA
1,all_population,all_population,6,ventilation,hu_cohorts,NA
1,bone_fracture,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
2,covid_infection,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
3,hip_fracture,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
4,hiv,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
5,influenza,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
6,pneumonia,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
7,sti,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
8,uti,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
9,deep_vein_thrombosis,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
10,haemorrhagic_stroke,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
11,heart_failure,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
12,ischemic_stroke,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
13,myocardial_infarction,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
14,myocarditis_pericarditis,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
15,pulmonary_embolism,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
16,transient_ischemic_attack,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
17,venous_thrombosembolism,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
18,ventricular_arrhythmia_cardiac_arrest,acute_cohorts,1,all_cause_mortality,acute_prognosis_cohorts,NA
